store_name,full_address,city,province,latitude,longitude,store_type,operating_hours,osm_id,osm_type
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5870691,116.121249,convenience,,2690662174,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5877182,116.1332519,convenience,,2690662175,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5890224,116.1208514,convenience,,2690662176,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5897252,116.1323339,convenience,,2690662177,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5906475,116.1296294,convenience,,2690662178,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5918318,116.107905,convenience,,2690662179,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5928736,116.154554,convenience,,2690662180,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5948525,116.1402116,convenience,,2690662181,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5949398,116.101616,convenience,,2690662182,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.5996561,116.099982,convenience,,2690662183,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.6020378,116.1352467,convenience,,2690662184,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.6034955,116.1137344,convenience,,2690662185,node
Alfamart,,Mataram,Nusa Tenggara Barat,-8.6117847,116.0994248,convenience,,2690662186,node
Alfamart,,Jakarta,DKI Jakarta,-6.2983428,106.8406949,convenience,Mo-Su 07:00-22:00,2700931557,node
Alfamart,,Bantul,Yogyakarta,-7.8275035,110.4410647,convenience,,2712181350,node
Alfamart,Jalan Nipa Nipa,Makassar,Sulawesi Selatan,-5.162529,119.5000755,convenience,,2730392001,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1579998,119.453119,convenience,,2735891831,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1641663,119.4557262,convenience,,2737059418,node
Alfamart,,Kulon Progo,Yogyakarta,-7.8869587,110.0765831,convenience,,2751368991,node
Alfamart,,Lampung Tengah,Lampung,-4.9276987,105.2123937,convenience,,2893034527,node
Alfamart,,Lombok Tengah,Nusa Tenggara Barat,-8.8899885,116.2766177,convenience,,2974214305,node
Alfamart,,Jember,Jawa Timur,-8.1881833,113.6562066,convenience,,2989213983,node
Alfamart,,Pasuruan,Jawa Timur,-7.7014583,112.6361247,convenience,,3004836020,node
Alfamart,,Gunungkidul,Yogyakarta,-7.8768537,110.5384041,convenience,,3029067238,node
Alfamart,,Surabaya,Jawa Timur,-7.3014742,112.7755593,convenience,,3067860977,node
Alfamart,,Lombok Tengah,Nusa Tenggara Barat,-8.6950954,116.2530112,convenience,,3074352841,node
Alfamart,,Cianjur,Jawa Barat,-6.7257491,107.0445274,convenience,,3083774661,node
Alfamart,,Kota Bogor,Jawa Barat,-6.5524014,106.8211839,convenience,,3083790480,node
Alfamart,,Pekanbaru,Riau,0.450376,101.4548135,convenience,,3101745144,node
Alfamart,,Pekanbaru,Riau,0.4638912,101.3778528,convenience,,3101767904,node
Alfamart,,Nganjuk,Jawa Timur,-7.6034302,111.8938711,convenience,,3125102628,node
Alfamart,,Palembang,Sumatera Selatan,-2.9405325,104.7803785,convenience,,3171664630,node
Alfamart,,Jakarta,DKI Jakarta,-6.255443,106.7904836,convenience,,3172459655,node
Alfamart,,Jakarta,DKI Jakarta,-6.2604903,106.7890859,convenience,,3180205315,node
Alfamart,,Pasuruan,Jawa Timur,-7.6684333,112.9018647,convenience,,3197429203,node
Alfamart,,Semarang,Jawa Tengah,-7.0561794,110.4389392,convenience,,3198757211,node
Alfamart,,Palembang,Sumatera Selatan,-2.9364972,104.7832461,convenience,,3205732630,node
Alfamart,,Palembang,Sumatera Selatan,-2.9345867,104.7865464,convenience,,3205755209,node
Alfamart,,Sleman,Yogyakarta,-7.7372309,110.3935832,convenience,,3214984451,node
Alfamart,,Jember,Jawa Timur,-8.2033833,113.6546811,convenience,,3222391350,node
Alfamart,,Pekanbaru,Riau,0.5006449,101.4741469,convenience,,3235834892,node
Alfamart,,Kampar,Riau,0.4207431,101.4358927,convenience,,3235836398,node
Alfamart,Jl. Belimbing,Pekanbaru,Riau,0.5048093,101.4445654,convenience,,3235899046,node
Alfamart,"Jl. KHRudin Nasution, No 54",PEKANBARU,Riau,0.4666558,101.4545419,convenience,,3235916267,node
Alfamart,,Pekanbaru,Riau,0.5152084,101.4583002,convenience,,3235993310,node
Alfamart,,Siak,Riau,0.9641054,102.0761531,convenience,,3237890507,node
Alfamart,Jalan Sultan Syarief Qasim,Dumai,Riau,1.678196,101.4458671,convenience,,3253698368,node
Alfamart,,Sidoarjo,Jawa Timur,-7.388149,112.7208325,convenience,,3262438867,node
Alfamart,,Surabaya,Jawa Timur,-7.3033612,112.7788627,convenience,,3299549762,node
Alfamart,,Gresik,Jawa Timur,-7.3330658,112.6320044,convenience,,3311113661,node
Alfamart,,Medan,Sumatera Utara,3.5940167,98.711759,convenience,,3324687456,node
Alfamart,,Kota Bogor,Jawa Barat,-6.4256899,106.7318215,convenience,,3397118435,node
Alfamart,,Semarang,Jawa Tengah,-7.005447,110.4015913,convenience,,3410322140,node
Alfamart,,Bandung,Jawa Barat,-6.9135994,107.6956572,convenience,Mo-Su 07:00-22:00,3426583581,node
Alfamart,Jalan A.H Nasution,Bandung,Jawa Barat,-6.9039978,107.6665883,convenience,Mo-Su 07:00-22:00,3426586142,node
Alfamart,,Bandung,Jawa Barat,-6.9050372,107.6811244,convenience,Mo-Su 07:00-22:00,3426586143,node
Alfamart,,Bandung,Jawa Barat,-6.9103331,107.6896145,convenience,Mo-Su 07:00-22:00,3426586144,node
Alfamart,,Bandung,Jawa Barat,-6.9393614,107.7389737,convenience,,3426591336,node
